airline,source,destination,distance,departure_hour,weather,delay
SpiceJet,Chennai,Hyderabad,507,22,Cloudy,1
Vistara,Hyderabad,Bangalore,481,7,Fog,1
Vistara,Hyderabad,Pune,500,10,Fog,1
Indigo,Chennai,Bangalore,279,22,Cloudy,0
Vistara,Chennai,Mumbai,1033,21,Clear,1
Vistara,Pune,Bangalore,736,12,Fog,1
GoAir,Delhi,Chennai,1760,5,Rain,0
GoAir,Kolkata,Pune,1577,4,Rain,1
Indigo,Kolkata,Pune,1577,17,Rain,1
GoAir,Bangalore,Delhi,1732,12,Cloudy,0
Air India,Bangalore,Pune,736,22,Rain,0
Air India,Delhi,Hyderabad,1266,15,Clear,1
GoAir,Chennai,Kolkata,1385,10,Rain,0
Indigo,Chennai,Bangalore,279,20,Fog,1
GoAir,Hyderabad,Kolkata,1207,15,Fog,0
Air India,Bangalore,Kolkata,1572,16,Rain,0
Vistara,Pune,Delhi,1155,17,Cloudy,0
Indigo,Delhi,Hyderabad,1266,9,Cloudy,1
GoAir,Bangalore,Mumbai,846,14,Fog,0
Vistara,Pune,Kolkata,1577,7,Fog,1
Vistara,Mumbai,Chennai,1033,23,Fog,1
GoAir,Mumbai,Bangalore,846,23,Fog,0
GoAir,Delhi,Hyderabad,1266,0,Rain,0
Air India,Hyderabad,Bangalore,481,7,Clear,0
SpiceJet,Kolkata,Bangalore,1572,1,Cloudy,0
Indigo,Chennai,Mumbai,1033,3,Clear,0
Vistara,Bangalore,Delhi,1732,1,Rain,0
Indigo,Chennai,Delhi,1760,6,Fog,0
GoAir,Hyderabad,Bangalore,481,20,Fog,0
Vistara,Kolkata,Bangalore,1572,22,Rain,1
GoAir,Kolkata,Chennai,1385,12,Clear,0
SpiceJet,Mumbai,Delhi,1136,11,Clear,0
Vistara,Pune,Kolkata,1577,23,Clear,0
Air India,Kolkata,Hyderabad,1207,22,Fog,0
SpiceJet,Kolkata,Bangalore,1572,11,Clear,0
GoAir,Kolkata,Bangalore,1572,9,Cloudy,0
Indigo,Mumbai,Kolkata,1665,12,Cloudy,0
Air India,Mumbai,Bangalore,846,6,Clear,0
GoAir,Mumbai,Chennai,1033,4,Rain,0
Air India,Pune,Mumbai,124,18,Rain,0
SpiceJet,Mumbai,Delhi,1136,16,Clear,1
Indigo,Kolkata,Chennai,1385,18,Cloudy,0
Air India,Mumbai,Chennai,1033,15,Fog,1
Air India,Delhi,Mumbai,1136,17,Rain,0
Vistara,Mumbai,Chennai,1033,2,Clear,0
Vistara,Chennai,Mumbai,1033,15,Rain,0
SpiceJet,Delhi,Pune,1155,22,Clear,0
Air India,Hyderabad,Kolkata,1207,16,Fog,0
Vistara,Mumbai,Chennai,1033,0,Cloudy,0
Indigo,Pune,Mumbai,124,4,Cloudy,0
Air India,Chennai,Mumbai,1033,17,Fog,1
GoAir,Hyderabad,Mumbai,622,16,Rain,0
SpiceJet,Delhi,Pune,1155,22,Fog,0
Vistara,Hyderabad,Chennai,507,8,Fog,0
Indigo,Bangalore,Delhi,1732,13,Clear,0
SpiceJet,Pune,Kolkata,1577,20,Clear,1
SpiceJet,Chennai,Pune,913,2,Clear,0
GoAir,Mumbai,Delhi,1136,3,Clear,0
GoAir,Hyderabad,Chennai,507,16,Cloudy,0
GoAir,Mumbai,Delhi,1136,7,Rain,1
Indigo,Pune,Delhi,1155,17,Clear,0
GoAir,Chennai,Kolkata,1385,9,Rain,0
Vistara,Kolkata,Bangalore,1572,22,Fog,1
Indigo,Hyderabad,Pune,500,5,Fog,0
Vistara,Mumbai,Bangalore,846,10,Cloudy,0
Air India,Bangalore,Chennai,279,6,Cloudy,0
SpiceJet,Delhi,Mumbai,1136,18,Rain,0
Air India,Chennai,Kolkata,1385,3,Clear,0
Air India,Kolkata,Mumbai,1665,7,Fog,0
Vistara,Bangalore,Mumbai,846,13,Clear,0
Air India,Mumbai,Hyderabad,622,6,Cloudy,0
SpiceJet,Delhi,Bangalore,1732,15,Fog,0
Indigo,Mumbai,Delhi,1136,1,Cloudy,0
GoAir,Hyderabad,Mumbai,622,22,Clear,0
Air India,Kolkata,Bangalore,1572,23,Rain,0
SpiceJet,Hyderabad,Pune,500,16,Fog,1
Vistara,Bangalore,Hyderabad,481,5,Clear,0
Vistara,Mumbai,Delhi,1136,14,Rain,0
Air India,Pune,Chennai,913,3,Clear,1
Air India,Pune,Hyderabad,500,3,Clear,0
Vistara,Bangalore,Delhi,1732,13,Rain,0
Air India,Mumbai,Delhi,1136,15,Clear,0
SpiceJet,Chennai,Pune,913,11,Rain,0
SpiceJet,Pune,Delhi,1155,22,Clear,1
Indigo,Hyderabad,Pune,500,2,Fog,0
GoAir,Hyderabad,Bangalore,481,17,Fog,1
Indigo,Bangalore,Pune,736,3,Clear,0
Air India,Bangalore,Chennai,279,23,Clear,1
GoAir,Kolkata,Chennai,1385,2,Fog,0
Indigo,Delhi,Hyderabad,1266,17,Clear,0
GoAir,Chennai,Hyderabad,507,18,Rain,1
GoAir,Pune,Delhi,1155,4,Fog,1
GoAir,Delhi,Chennai,1760,7,Fog,0
GoAir,Hyderabad,Bangalore,481,19,Clear,0
Vistara,Mumbai,Delhi,1136,6,Cloudy,0
Air India,Mumbai,Bangalore,846,18,Fog,1
Vistara,Delhi,Chennai,1760,13,Clear,0
SpiceJet,Bangalore,Delhi,1732,3,Cloudy,0
SpiceJet,Mumbai,Bangalore,846,19,Rain,1
Air India,Delhi,Chennai,1760,3,Fog,1
Indigo,Kolkata,Hyderabad,1207,8,Fog,0
Vistara,Bangalore,Pune,736,16,Clear,0
SpiceJet,Chennai,Delhi,1760,19,Fog,1
SpiceJet,Pune,Hyderabad,500,4,Clear,0
GoAir,Delhi,Bangalore,1732,11,Rain,0
Air India,Bangalore,Kolkata,1572,4,Clear,0
GoAir,Hyderabad,Delhi,1266,10,Fog,1
SpiceJet,Delhi,Mumbai,1136,9,Cloudy,0
SpiceJet,Bangalore,Chennai,279,18,Fog,0
GoAir,Bangalore,Hyderabad,481,5,Cloudy,0
Vistara,Mumbai,Delhi,1136,5,Cloudy,0
Indigo,Hyderabad,Chennai,507,14,Fog,0
Vistara,Kolkata,Pune,1577,4,Clear,1
SpiceJet,Pune,Bangalore,736,10,Cloudy,0
Indigo,Chennai,Kolkata,1385,5,Clear,0
GoAir,Hyderabad,Bangalore,481,17,Fog,1
GoAir,Delhi,Kolkata,1312,6,Clear,0
GoAir,Mumbai,Bangalore,846,14,Fog,0
GoAir,Kolkata,Hyderabad,1207,1,Fog,0
Vistara,Hyderabad,Chennai,507,18,Fog,1
Indigo,Pune,Hyderabad,500,22,Rain,1
Indigo,Delhi,Pune,1155,3,Clear,0
GoAir,Mumbai,Hyderabad,622,0,Rain,0
Vistara,Delhi,Hyderabad,1266,8,Fog,0
Air India,Delhi,Chennai,1760,12,Cloudy,0
GoAir,Pune,Hyderabad,500,17,Cloudy,0
GoAir,Bangalore,Hyderabad,481,10,Rain,1
Indigo,Delhi,Pune,1155,20,Rain,1
SpiceJet,Bangalore,Chennai,279,7,Rain,1
SpiceJet,Delhi,Pune,1155,17,Cloudy,1
GoAir,Kolkata,Mumbai,1665,12,Cloudy,0
SpiceJet,Delhi,Mumbai,1136,21,Clear,0
GoAir,Hyderabad,Bangalore,481,8,Fog,0
GoAir,Chennai,Kolkata,1385,19,Rain,0
Indigo,Hyderabad,Delhi,1266,0,Fog,0
Vistara,Bangalore,Delhi,1732,3,Rain,1
SpiceJet,Delhi,Bangalore,1732,10,Rain,1
Air India,Bangalore,Mumbai,846,1,Fog,1
Indigo,Kolkata,Chennai,1385,21,Clear,0
GoAir,Hyderabad,Mumbai,622,10,Fog,0
Air India,Chennai,Pune,913,17,Clear,0
GoAir,Mumbai,Pune,124,2,Cloudy,0
SpiceJet,Delhi,Kolkata,1312,0,Fog,0
Air India,Chennai,Mumbai,1033,16,Fog,0
Indigo,Delhi,Bangalore,1732,19,Clear,0
Vistara,Pune,Delhi,1155,20,Clear,0
Vistara,Chennai,Delhi,1760,19,Fog,0
SpiceJet,Kolkata,Hyderabad,1207,7,Clear,0
Air India,Mumbai,Hyderabad,622,17,Fog,1
SpiceJet,Bangalore,Chennai,279,20,Clear,0
Air India,Bangalore,Delhi,1732,15,Fog,0
Vistara,Delhi,Chennai,1760,19,Cloudy,0
Air India,Pune,Hyderabad,500,4,Cloudy,0
Vistara,Kolkata,Mumbai,1665,20,Clear,0
Vistara,Mumbai,Hyderabad,622,1,Rain,0
Vistara,Chennai,Bangalore,279,7,Clear,1
GoAir,Chennai,Kolkata,1385,17,Fog,1
SpiceJet,Hyderabad,Bangalore,481,20,Rain,1
Vistara,Bangalore,Hyderabad,481,9,Clear,0
SpiceJet,Kolkata,Delhi,1312,23,Rain,0
GoAir,Delhi,Mumbai,1136,18,Cloudy,0
Vistara,Kolkata,Mumbai,1665,9,Fog,0
GoAir,Mumbai,Pune,124,15,Cloudy,0
Vistara,Pune,Delhi,1155,20,Rain,1
Vistara,Bangalore,Chennai,279,16,Fog,0
GoAir,Chennai,Hyderabad,507,21,Cloudy,0
SpiceJet,Delhi,Kolkata,1312,23,Cloudy,1
GoAir,Kolkata,Bangalore,1572,14,Clear,0
Indigo,Kolkata,Pune,1577,16,Cloudy,0
GoAir,Kolkata,Delhi,1312,20,Clear,0
SpiceJet,Bangalore,Mumbai,846,6,Clear,0
SpiceJet,Bangalore,Mumbai,846,11,Fog,1
GoAir,Kolkata,Hyderabad,1207,8,Cloudy,0
Air India,Mumbai,Delhi,1136,7,Clear,0
Indigo,Bangalore,Pune,736,4,Fog,1
Vistara,Bangalore,Mumbai,846,18,Clear,0
SpiceJet,Bangalore,Kolkata,1572,15,Rain,1
Indigo,Mumbai,Hyderabad,622,3,Fog,0
Vistara,Mumbai,Kolkata,1665,21,Fog,1
Indigo,Delhi,Pune,1155,2,Fog,1
Air India,Chennai,Pune,913,2,Rain,0
GoAir,Hyderabad,Kolkata,1207,16,Cloudy,0
Vistara,Kolkata,Hyderabad,1207,4,Rain,0
SpiceJet,Delhi,Bangalore,1732,17,Cloudy,0
Air India,Hyderabad,Mumbai,622,10,Fog,1
Indigo,Delhi,Bangalore,1732,2,Fog,0
Vistara,Kolkata,Mumbai,1665,12,Rain,0
Vistara,Hyderabad,Mumbai,622,3,Cloudy,0
Air India,Chennai,Hyderabad,507,9,Rain,0
GoAir,Bangalore,Mumbai,846,15,Cloudy,0
Indigo,Hyderabad,Chennai,507,10,Rain,0
Air India,Hyderabad,Mumbai,622,9,Cloudy,0
Vistara,Mumbai,Bangalore,846,14,Cloudy,0
Vistara,Mumbai,Pune,124,1,Cloudy,1
Air India,Delhi,Bangalore,1732,1,Fog,1
Indigo,Pune,Chennai,913,20,Fog,0
Indigo,Hyderabad,Kolkata,1207,8,Rain,1
GoAir,Delhi,Bangalore,1732,12,Clear,0
Vistara,Chennai,Delhi,1760,21,Cloudy,1
Air India,Pune,Kolkata,1577,16,Rain,0
Air India,Hyderabad,Delhi,1266,14,Rain,0
GoAir,Kolkata,Hyderabad,1207,13,Fog,0
Air India,Hyderabad,Chennai,507,17,Cloudy,1
Vistara,Mumbai,Chennai,1033,0,Cloudy,0
SpiceJet,Chennai,Kolkata,1385,18,Clear,0
Vistara,Hyderabad,Delhi,1266,19,Rain,1
Air India,Kolkata,Bangalore,1572,2,Cloudy,0
Vistara,Kolkata,Delhi,1312,19,Cloudy,1
Air India,Chennai,Pune,913,3,Cloudy,0
Air India,Hyderabad,Chennai,507,14,Fog,0
SpiceJet,Kolkata,Bangalore,1572,16,Cloudy,0
Air India,Kolkata,Delhi,1312,8,Rain,0
SpiceJet,Kolkata,Pune,1577,20,Cloudy,1
Air India,Hyderabad,Kolkata,1207,11,Rain,0
SpiceJet,Bangalore,Pune,736,11,Clear,0
Air India,Bangalore,Pune,736,6,Clear,1
SpiceJet,Kolkata,Hyderabad,1207,7,Fog,1
Vistara,Delhi,Kolkata,1312,9,Clear,0
Vistara,Chennai,Hyderabad,507,5,Cloudy,0
Vistara,Pune,Mumbai,124,18,Clear,0
Vistara,Chennai,Delhi,1760,18,Cloudy,0
Indigo,Hyderabad,Bangalore,481,5,Fog,0
Air India,Bangalore,Pune,736,20,Rain,1
SpiceJet,Bangalore,Hyderabad,481,12,Rain,0
Air India,Delhi,Pune,1155,9,Rain,0
SpiceJet,Hyderabad,Delhi,1266,12,Cloudy,0
Air India,Chennai,Delhi,1760,0,Cloudy,0
Indigo,Hyderabad,Bangalore,481,4,Rain,1
Vistara,Hyderabad,Mumbai,622,5,Fog,0
GoAir,Mumbai,Chennai,1033,17,Rain,1
Air India,Mumbai,Kolkata,1665,7,Rain,1
SpiceJet,Kolkata,Mumbai,1665,17,Clear,0
GoAir,Mumbai,Kolkata,1665,13,Rain,1
GoAir,Delhi,Bangalore,1732,9,Rain,1
Vistara,Bangalore,Pune,736,23,Clear,1
GoAir,Hyderabad,Chennai,507,1,Rain,0
Air India,Mumbai,Chennai,1033,10,Rain,1
SpiceJet,Pune,Kolkata,1577,23,Rain,0
Air India,Chennai,Pune,913,22,Cloudy,0
Indigo,Kolkata,Mumbai,1665,11,Cloudy,0
Air India,Bangalore,Delhi,1732,10,Fog,0
Indigo,Kolkata,Bangalore,1572,4,Fog,1
GoAir,Kolkata,Mumbai,1665,3,Clear,0
GoAir,Delhi,Mumbai,1136,21,Fog,0
SpiceJet,Chennai,Mumbai,1033,16,Rain,0
SpiceJet,Mumbai,Delhi,1136,20,Fog,0
Vistara,Chennai,Pune,913,1,Cloudy,0
GoAir,Kolkata,Hyderabad,1207,7,Fog,0
Vistara,Bangalore,Kolkata,1572,5,Fog,1
Air India,Hyderabad,Chennai,507,2,Clear,0
Air India,Hyderabad,Mumbai,622,4,Fog,0
Indigo,Hyderabad,Kolkata,1207,9,Cloudy,0
SpiceJet,Bangalore,Mumbai,846,15,Clear,0
Indigo,Chennai,Delhi,1760,2,Cloudy,0
Vistara,Hyderabad,Pune,500,23,Rain,0
SpiceJet,Hyderabad,Chennai,507,6,Fog,0
Vistara,Kolkata,Pune,1577,9,Rain,1
Air India,Chennai,Delhi,1760,4,Rain,0
Vistara,Delhi,Pune,1155,19,Rain,0
Indigo,Hyderabad,Chennai,507,0,Cloudy,0
SpiceJet,Mumbai,Kolkata,1665,2,Cloudy,0
GoAir,Mumbai,Pune,124,18,Cloudy,0
Air India,Kolkata,Mumbai,1665,12,Clear,0
Vistara,Chennai,Delhi,1760,6,Fog,1
SpiceJet,Kolkata,Delhi,1312,5,Cloudy,1
Vistara,Bangalore,Delhi,1732,5,Rain,0
Vistara,Delhi,Mumbai,1136,6,Clear,0
SpiceJet,Chennai,Pune,913,18,Cloudy,0
Indigo,Mumbai,Chennai,1033,11,Cloudy,0
SpiceJet,Kolkata,Hyderabad,1207,9,Rain,0
