Age,Gender,Tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,TechSupport,OnlineSecurity,Churn
54,Male,13,99.4,1243.32,Two year,Fiber optic,Bank transfer,No,No,0
68,Female,46,69.73,3135.35,Month-to-month,Fiber optic,Bank transfer,No,Yes,1
24,Female,27,53.98,1528.98,One year,No,Electronic check,Yes,Yes,0
38,Female,17,107.21,1829.67,One year,DSL,Mailed check,Yes,Yes,1
26,Female,60,74.48,4443.76,Month-to-month,Fiber optic,Mailed check,Yes,No,0
56,Female,64,95.84,6164.82,Two year,Fiber optic,Credit card,No,No,0
35,Male,35,95.41,3331.21,Month-to-month,DSL,Mailed check,Yes,No,0
21,Female,70,21.79,1560.37,Month-to-month,DSL,Electronic check,Yes,No,0
42,Male,30,32.63,982.25,One year,DSL,Bank transfer,Yes,Yes,0
31,Male,71,85.96,6139.28,Month-to-month,DSL,Credit card,Yes,Yes,1
67,Female,63,36.16,2233.35,One year,No,Credit card,No,Yes,0
26,Male,28,45.55,1346.62,Month-to-month,Fiber optic,Mailed check,No,No,0
43,Male,60,114.66,6914.48,Month-to-month,Fiber optic,Credit card,Yes,No,1
19,Male,37,76.02,2845.05,Month-to-month,DSL,Bank transfer,Yes,Yes,0
37,Male,22,95.07,2035.66,Month-to-month,DSL,Credit card,Yes,No,0
45,Female,68,75.8,5239.38,Month-to-month,DSL,Bank transfer,No,Yes,1
64,Male,20,75.25,1504.31,One year,Fiber optic,Electronic check,Yes,No,0
24,Female,68,29.42,2036.96,Two year,Fiber optic,Electronic check,No,No,0
61,Female,64,54.37,3463.54,Two year,No,Bank transfer,No,Yes,0
25,Male,17,48.24,833.12,Month-to-month,Fiber optic,Mailed check,Yes,Yes,1
64,Female,12,59.07,723.7,Month-to-month,Fiber optic,Credit card,Yes,No,1
52,Female,22,99.83,2055.26,Month-to-month,Fiber optic,Mailed check,Yes,Yes,1
31,Female,17,57.19,1001.35,Month-to-month,No,Credit card,No,Yes,0
34,Male,10,65.17,749.97,One year,Fiber optic,Electronic check,No,No,0
53,Female,65,59.74,3910.09,Month-to-month,DSL,Electronic check,Yes,No,1
67,Female,22,29.34,597.59,Month-to-month,Fiber optic,Electronic check,No,No,1
57,Female,50,64.11,3238.0,Two year,Fiber optic,Credit card,Yes,Yes,1
21,Male,14,39.56,606.81,Month-to-month,Fiber optic,Electronic check,Yes,No,0
19,Female,64,38.67,2500.5,Month-to-month,DSL,Electronic check,No,No,0
23,Male,47,29.4,1378.09,Month-to-month,No,Electronic check,No,No,0
59,Male,29,55.67,1602.32,Month-to-month,No,Electronic check,No,No,1
21,Male,36,95.75,3434.68,Two year,DSL,Mailed check,No,No,0
46,Male,52,47.64,2512.17,Month-to-month,No,Electronic check,Yes,Yes,0
35,Male,7,51.23,288.25,Month-to-month,DSL,Electronic check,Yes,No,1
43,Male,29,84.27,2425.24,Month-to-month,DSL,Mailed check,Yes,No,0
61,Female,11,39.58,515.16,Month-to-month,DSL,Mailed check,No,Yes,1
51,Male,33,109.7,3701.81,Month-to-month,DSL,Credit card,Yes,No,1
27,Female,6,72.02,358.21,Two year,No,Bank transfer,No,No,0
53,Female,32,64.76,2015.75,Two year,DSL,Electronic check,No,Yes,0
31,Male,51,75.78,3851.25,One year,DSL,Electronic check,No,No,0
48,Female,58,36.6,2167.43,Month-to-month,DSL,Electronic check,Yes,Yes,0
65,Female,26,81.35,2023.73,Two year,DSL,Credit card,No,No,0
32,Female,46,56.31,2587.52,One year,DSL,Electronic check,No,Yes,0
25,Female,29,109.72,3158.17,Month-to-month,Fiber optic,Bank transfer,No,Yes,0
31,Male,4,36.89,213.86,One year,DSL,Mailed check,No,No,0
40,Female,13,70.71,835.38,Month-to-month,No,Credit card,No,Yes,0
57,Male,39,79.81,3117.22,Month-to-month,No,Mailed check,No,Yes,0
38,Female,15,23.34,330.42,One year,DSL,Electronic check,No,No,0
33,Female,29,56.37,1708.22,Month-to-month,No,Electronic check,No,No,1
62,Male,29,93.26,2734.42,One year,DSL,Electronic check,No,Yes,1
35,Female,32,102.04,3235.99,Month-to-month,DSL,Bank transfer,No,No,0
64,Female,2,51.32,145.31,Two year,DSL,Bank transfer,No,Yes,1
41,Female,47,99.86,4673.98,Two year,DSL,Credit card,No,Yes,1
43,Male,22,116.78,2619.13,Two year,Fiber optic,Mailed check,Yes,No,0
42,Female,27,105.69,2841.78,Month-to-month,Fiber optic,Electronic check,Yes,No,0
62,Male,67,31.76,2180.65,Month-to-month,DSL,Electronic check,No,Yes,0
58,Female,56,93.97,5284.12,Month-to-month,Fiber optic,Electronic check,No,No,1
46,Male,21,51.97,1254.39,Month-to-month,DSL,Electronic check,No,No,1
32,Male,47,118.84,5582.84,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,1
62,Female,59,68.54,4063.0,One year,DSL,Mailed check,Yes,Yes,0
18,Female,6,32.24,169.47,One year,DSL,Mailed check,Yes,Yes,0
42,Male,19,92.52,1758.01,Two year,DSL,Credit card,No,Yes,0
24,Male,57,52.3,2846.01,Month-to-month,DSL,Bank transfer,No,Yes,0
26,Female,69,119.71,8283.27,Month-to-month,Fiber optic,Electronic check,No,Yes,1
41,Male,3,117.98,421.08,Month-to-month,No,Mailed check,No,No,1
18,Female,1,85.61,105.44,Two year,DSL,Mailed check,Yes,Yes,1
61,Female,58,32.98,1847.15,One year,Fiber optic,Bank transfer,No,No,0
25,Female,38,88.69,3330.13,Two year,Fiber optic,Credit card,Yes,No,0
41,Female,15,29.3,317.99,Two year,No,Credit card,Yes,Yes,1
28,Male,34,22.94,828.91,One year,DSL,Electronic check,No,No,0
68,Female,61,102.3,6189.97,Month-to-month,Fiber optic,Credit card,Yes,Yes,0
34,Male,35,40.98,1432.86,Month-to-month,No,Mailed check,Yes,No,0
25,Female,64,57.9,3697.91,One year,Fiber optic,Credit card,Yes,Yes,0
52,Male,25,117.35,3008.14,Month-to-month,DSL,Electronic check,Yes,Yes,1
52,Female,24,53.68,1292.58,Month-to-month,DSL,Mailed check,No,Yes,0
50,Male,12,49.65,636.24,Two year,DSL,Credit card,No,Yes,0
22,Male,18,111.82,2040.08,Two year,Fiber optic,Credit card,Yes,No,0
59,Female,15,31.07,534.02,One year,Fiber optic,Bank transfer,No,No,0
56,Female,27,95.96,2578.96,One year,DSL,Electronic check,Yes,No,0
58,Female,60,118.81,7222.08,One year,Fiber optic,Credit card,No,No,1
45,Female,46,110.13,4966.7,Month-to-month,Fiber optic,Bank transfer,No,No,1
24,Male,17,85.17,1490.76,Month-to-month,Fiber optic,Mailed check,No,Yes,1
26,Female,53,51.41,2681.4,One year,Fiber optic,Bank transfer,No,Yes,0
25,Male,8,45.43,338.8,One year,No,Bank transfer,No,Yes,0
29,Male,27,101.93,2780.58,Month-to-month,DSL,Credit card,Yes,Yes,0
51,Female,46,107.98,4995.15,Two year,No,Credit card,No,Yes,1
50,Male,50,72.54,3657.32,Month-to-month,DSL,Credit card,Yes,No,0
65,Male,71,44.43,3085.22,Month-to-month,DSL,Bank transfer,Yes,Yes,1
40,Male,3,31.29,166.32,One year,DSL,Mailed check,No,Yes,0
41,Male,64,28.72,1793.05,Month-to-month,DSL,Electronic check,Yes,No,0
54,Female,44,91.91,4005.68,Month-to-month,DSL,Bank transfer,No,No,1
52,Female,53,62.01,3318.42,Month-to-month,DSL,Credit card,Yes,Yes,1
61,Female,24,110.54,2638.62,One year,No,Electronic check,Yes,Yes,1
57,Female,60,93.97,5653.61,Month-to-month,DSL,Mailed check,No,No,0
39,Male,3,39.13,39.13,One year,Fiber optic,Electronic check,No,Yes,0
44,Male,20,81.38,1641.82,One year,DSL,Credit card,No,Yes,0
52,Female,46,63.55,2934.19,Month-to-month,No,Bank transfer,No,Yes,1
18,Female,15,77.72,1140.31,Two year,Fiber optic,Bank transfer,Yes,No,0
52,Female,25,93.81,2241.55,Month-to-month,DSL,Credit card,No,Yes,1
54,Male,71,100.62,7133.38,Two year,Fiber optic,Bank transfer,Yes,Yes,1
64,Female,17,104.37,1772.42,One year,Fiber optic,Credit card,Yes,No,0
31,Female,9,45.4,390.24,Two year,Fiber optic,Bank transfer,Yes,No,0
20,Female,38,23.11,786.37,Month-to-month,Fiber optic,Bank transfer,Yes,No,0
18,Male,48,93.93,4588.38,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,0
22,Male,60,30.63,1805.86,Month-to-month,Fiber optic,Mailed check,Yes,No,0
43,Male,63,51.49,3232.76,Month-to-month,Fiber optic,Mailed check,No,Yes,0
31,Male,2,20.38,20.38,One year,DSL,Credit card,Yes,No,0
56,Male,11,88.17,1049.61,Month-to-month,No,Mailed check,Yes,Yes,1
44,Male,64,36.71,2326.11,One year,DSL,Credit card,Yes,No,0
26,Male,21,85.53,1801.05,Month-to-month,Fiber optic,Electronic check,No,Yes,1
32,Male,18,119.17,2201.1,Month-to-month,DSL,Electronic check,No,Yes,0
32,Female,64,27.27,1711.46,One year,Fiber optic,Mailed check,Yes,No,0
43,Female,38,27.71,1101.14,Month-to-month,No,Electronic check,No,No,0
59,Male,32,54.04,1626.21,One year,DSL,Electronic check,Yes,Yes,0
30,Male,11,106.64,1200.59,One year,DSL,Bank transfer,No,No,0
68,Female,45,41.55,1948.36,Two year,Fiber optic,Bank transfer,Yes,Yes,1
49,Male,33,56.04,1820.3,Month-to-month,No,Credit card,No,No,1
56,Male,41,26.85,1156.79,One year,Fiber optic,Electronic check,No,No,0
66,Male,8,96.32,862.26,Two year,DSL,Credit card,No,Yes,0
69,Female,11,60.83,656.39,One year,No,Credit card,Yes,No,0
49,Female,51,95.92,4875.04,Month-to-month,Fiber optic,Electronic check,Yes,No,0
21,Female,41,110.36,4479.85,One year,DSL,Mailed check,Yes,Yes,0
47,Female,17,43.28,710.27,One year,DSL,Electronic check,No,Yes,1
54,Female,46,100.74,4593.27,One year,Fiber optic,Bank transfer,No,No,1
40,Male,32,25.91,784.16,Month-to-month,DSL,Electronic check,Yes,Yes,1
56,Female,54,109.88,5993.46,Month-to-month,DSL,Mailed check,No,No,0
62,Male,20,85.08,1662.1,Two year,No,Credit card,Yes,No,1
32,Male,33,107.42,3557.79,Month-to-month,DSL,Credit card,Yes,Yes,0
60,Female,40,20.02,802.71,One year,Fiber optic,Bank transfer,Yes,Yes,0
46,Female,32,36.91,1256.02,Month-to-month,DSL,Bank transfer,Yes,Yes,0
53,Male,2,58.98,92.8,One year,Fiber optic,Bank transfer,No,Yes,1
30,Male,33,57.95,1931.41,Month-to-month,Fiber optic,Credit card,No,Yes,1
49,Male,30,42.67,1319.65,Month-to-month,DSL,Bank transfer,No,Yes,1
24,Female,33,58.16,1993.77,Two year,Fiber optic,Electronic check,Yes,No,0
68,Female,26,32.88,828.99,Two year,DSL,Credit card,No,No,1
39,Female,22,61.28,1317.27,One year,No,Mailed check,Yes,Yes,1
45,Female,66,100.24,6562.75,Month-to-month,No,Credit card,Yes,No,0
19,Female,38,67.91,2692.39,One year,Fiber optic,Electronic check,Yes,No,0
59,Male,46,21.8,1072.02,One year,Fiber optic,Electronic check,Yes,No,0
62,Female,15,62.14,929.99,One year,DSL,Bank transfer,Yes,No,0
23,Male,44,22.72,1096.25,Month-to-month,Fiber optic,Credit card,Yes,Yes,1
45,Male,49,116.62,5709.29,One year,DSL,Credit card,No,No,1
45,Male,61,32.75,2033.97,One year,DSL,Credit card,No,No,0
61,Female,67,90.77,6082.1,Two year,Fiber optic,Mailed check,No,Yes,0
61,Female,6,117.28,723.57,Month-to-month,DSL,Bank transfer,No,Yes,1
37,Female,9,102.6,937.99,One year,Fiber optic,Electronic check,Yes,Yes,0
47,Male,6,89.93,518.33,One year,DSL,Electronic check,Yes,Yes,1
28,Male,32,103.95,3381.02,Month-to-month,Fiber optic,Bank transfer,No,No,0
45,Male,41,118.18,4881.18,Month-to-month,DSL,Electronic check,No,Yes,0
42,Male,8,82.13,708.42,Month-to-month,DSL,Electronic check,No,No,1
56,Male,50,75.92,3812.01,Month-to-month,Fiber optic,Bank transfer,No,No,0
50,Male,62,82.82,5089.51,Month-to-month,No,Electronic check,No,Yes,0
18,Female,62,73.27,4628.21,One year,Fiber optic,Credit card,No,Yes,1
44,Female,7,83.51,571.44,One year,DSL,Mailed check,No,Yes,0
69,Female,4,64.98,278.12,One year,DSL,Bank transfer,No,Yes,0
30,Female,6,41.84,282.81,Two year,No,Mailed check,Yes,Yes,0
58,Male,58,32.02,1875.03,Month-to-month,Fiber optic,Electronic check,Yes,Yes,0
20,Male,22,26.83,636.03,Month-to-month,DSL,Electronic check,Yes,No,1
56,Female,26,46.33,1258.25,One year,No,Credit card,Yes,No,0
23,Male,3,24.61,62.59,Month-to-month,No,Bank transfer,No,No,0
25,Female,41,76.72,3226.79,Month-to-month,No,Electronic check,Yes,No,0
44,Female,60,48.38,2889.45,Month-to-month,No,Bank transfer,No,Yes,0
26,Female,14,102.45,1451.14,Month-to-month,No,Bank transfer,Yes,Yes,1
54,Male,12,27.42,309.66,Two year,DSL,Bank transfer,No,No,0
50,Female,12,42.64,478.01,Month-to-month,DSL,Bank transfer,No,No,0
68,Female,13,93.02,1261.47,Month-to-month,Fiber optic,Bank transfer,Yes,No,1
59,Female,25,79.88,2153.09,Month-to-month,Fiber optic,Mailed check,Yes,Yes,1
61,Male,45,26.45,1172.16,One year,Fiber optic,Credit card,No,Yes,0
41,Male,19,107.72,2107.45,Month-to-month,DSL,Bank transfer,No,Yes,0
32,Female,55,107.73,5908.85,One year,Fiber optic,Mailed check,No,No,1
49,Male,45,53.04,2386.28,Month-to-month,Fiber optic,Electronic check,Yes,No,0
49,Male,8,54.04,520.2,Month-to-month,DSL,Bank transfer,Yes,Yes,1
41,Male,53,118.9,6248.02,One year,DSL,Electronic check,No,Yes,1
58,Male,55,82.62,4477.19,Month-to-month,Fiber optic,Bank transfer,Yes,No,1
69,Male,32,73.13,2335.8,Month-to-month,Fiber optic,Mailed check,No,No,0
66,Male,51,103.82,5328.0,Month-to-month,DSL,Mailed check,Yes,Yes,0
66,Male,44,48.53,2158.5,Two year,Fiber optic,Mailed check,Yes,No,0
69,Male,70,62.92,4422.43,Month-to-month,Fiber optic,Credit card,Yes,Yes,1
29,Male,18,46.78,843.75,One year,Fiber optic,Electronic check,Yes,Yes,0
56,Male,22,98.92,2215.57,Month-to-month,DSL,Credit card,Yes,No,1
19,Female,37,77.33,2715.53,Month-to-month,Fiber optic,Bank transfer,No,No,1
20,Female,56,85.88,4771.74,Month-to-month,DSL,Electronic check,No,No,0
66,Male,59,45.23,2663.89,Two year,No,Mailed check,Yes,Yes,0
54,Female,3,42.02,161.29,Month-to-month,DSL,Electronic check,No,No,1
66,Female,28,68.84,2002.01,Month-to-month,Fiber optic,Mailed check,No,No,1
34,Male,35,93.76,3237.35,Month-to-month,DSL,Credit card,Yes,Yes,0
66,Male,61,72.52,4496.57,Month-to-month,Fiber optic,Credit card,No,Yes,1
19,Male,54,23.26,1233.41,Month-to-month,Fiber optic,Mailed check,Yes,No,0
19,Female,63,106.86,6725.68,One year,DSL,Mailed check,No,Yes,0
45,Female,7,26.47,214.36,Month-to-month,Fiber optic,Bank transfer,No,Yes,0
40,Male,49,115.58,5653.26,Month-to-month,DSL,Credit card,No,Yes,0
54,Male,31,22.51,753.32,One year,DSL,Credit card,No,No,0
49,Male,58,89.45,5167.87,Month-to-month,Fiber optic,Bank transfer,No,No,0
50,Female,61,28.22,1701.94,Month-to-month,DSL,Credit card,No,Yes,0
18,Female,24,111.07,2718.28,Month-to-month,No,Mailed check,No,Yes,0
36,Female,20,66.44,1290.64,One year,Fiber optic,Electronic check,Yes,Yes,0
19,Female,37,33.75,1261.2,Month-to-month,Fiber optic,Electronic check,Yes,No,0
61,Male,4,54.08,133.3,Month-to-month,DSL,Credit card,Yes,Yes,1
43,Male,20,36.48,820.58,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,0
49,Male,60,37.06,2283.93,One year,Fiber optic,Mailed check,No,No,0
23,Male,24,114.81,2892.95,Month-to-month,DSL,Electronic check,No,Yes,1
49,Female,50,64.52,3292.92,One year,No,Mailed check,No,No,0
21,Female,49,98.88,4788.64,Two year,DSL,Credit card,Yes,No,0
28,Male,51,83.96,4315.39,One year,No,Credit card,Yes,No,0
34,Male,36,87.64,3109.14,Month-to-month,DSL,Electronic check,Yes,Yes,0
55,Female,66,33.17,2268.12,Month-to-month,No,Credit card,No,Yes,1
41,Male,34,43.42,1421.22,Month-to-month,Fiber optic,Bank transfer,Yes,No,1
22,Female,36,98.68,3495.02,Month-to-month,DSL,Credit card,No,Yes,0
69,Male,6,117.08,621.99,Month-to-month,DSL,Credit card,Yes,No,1
51,Male,39,46.27,1780.11,One year,Fiber optic,Credit card,No,Yes,0
23,Male,42,47.16,1946.25,Month-to-month,No,Mailed check,Yes,No,1
39,Male,58,67.29,3839.74,Month-to-month,DSL,Mailed check,No,No,1
28,Male,12,118.38,1520.05,One year,DSL,Electronic check,Yes,Yes,1
65,Male,3,46.9,167.19,One year,Fiber optic,Electronic check,Yes,Yes,1
33,Male,18,60.7,1113.21,Month-to-month,Fiber optic,Electronic check,No,Yes,1
50,Female,40,109.15,4445.46,Two year,Fiber optic,Credit card,No,Yes,1
26,Female,21,20.29,438.9,Month-to-month,Fiber optic,Mailed check,Yes,No,0
23,Female,15,23.98,322.27,One year,DSL,Bank transfer,No,No,0
33,Female,26,80.41,2005.65,One year,No,Credit card,Yes,Yes,0
46,Female,8,110.74,845.67,One year,Fiber optic,Credit card,No,Yes,1
20,Male,42,43.89,1918.65,One year,DSL,Credit card,Yes,No,0
37,Male,44,66.96,2883.47,Month-to-month,Fiber optic,Bank transfer,No,Yes,0
53,Female,14,65.05,928.36,Month-to-month,Fiber optic,Electronic check,Yes,Yes,0
36,Male,2,67.3,186.3,One year,DSL,Bank transfer,Yes,Yes,1
43,Female,37,82.25,3057.52,Month-to-month,Fiber optic,Electronic check,Yes,Yes,0
20,Female,69,66.97,4640.88,Two year,DSL,Bank transfer,No,No,0
36,Male,38,64.75,2493.28,Month-to-month,Fiber optic,Mailed check,Yes,No,0
37,Male,41,67.43,2783.59,Month-to-month,No,Credit card,No,Yes,0
49,Male,62,79.09,4984.03,Month-to-month,DSL,Credit card,No,No,0
24,Female,60,73.7,4369.99,Month-to-month,DSL,Credit card,No,Yes,1
69,Male,14,105.41,1487.76,One year,No,Electronic check,Yes,Yes,1
58,Female,2,24.95,24.95,One year,No,Bank transfer,No,Yes,1
50,Female,70,103.33,7129.41,One year,Fiber optic,Mailed check,No,No,0
57,Female,17,104.39,1770.55,Two year,Fiber optic,Bank transfer,No,No,1
56,Male,28,48.49,1384.89,Two year,Fiber optic,Credit card,Yes,No,0
35,Male,66,66.29,4456.67,Two year,No,Mailed check,No,No,0
57,Female,35,63.85,2355.74,Month-to-month,No,Mailed check,No,No,0
18,Male,5,41.85,275.24,One year,DSL,Credit card,No,Yes,1
28,Male,65,59.68,3915.56,Month-to-month,Fiber optic,Bank transfer,No,Yes,0
45,Male,40,24.44,985.6,Month-to-month,Fiber optic,Credit card,Yes,No,0
42,Female,56,47.78,2599.12,One year,Fiber optic,Bank transfer,Yes,No,0
67,Female,36,101.67,3652.82,Month-to-month,Fiber optic,Mailed check,No,No,0
40,Male,45,48.46,2245.22,Month-to-month,Fiber optic,Mailed check,No,Yes,0
48,Female,23,101.82,2386.77,Month-to-month,No,Credit card,No,No,1
47,Male,47,73.16,3374.2,Month-to-month,DSL,Mailed check,No,Yes,0
59,Male,31,107.99,3378.39,Two year,DSL,Electronic check,Yes,Yes,1
52,Male,11,77.48,878.7,Month-to-month,Fiber optic,Mailed check,Yes,No,1
24,Male,10,22.97,247.19,Month-to-month,DSL,Electronic check,Yes,Yes,0
33,Female,67,87.54,5863.79,Month-to-month,DSL,Mailed check,Yes,Yes,0
43,Female,14,24.49,376.14,Month-to-month,DSL,Credit card,No,No,0
65,Female,10,65.06,685.47,Two year,Fiber optic,Credit card,No,Yes,0
69,Male,1,112.94,112.94,Month-to-month,No,Electronic check,Yes,No,1
66,Male,5,36.52,205.35,One year,Fiber optic,Credit card,Yes,Yes,0
19,Male,20,58.99,1170.33,One year,Fiber optic,Mailed check,No,No,0
18,Female,8,92.99,669.56,Two year,DSL,Mailed check,No,No,1
65,Male,43,108.23,4625.81,One year,Fiber optic,Credit card,No,Yes,0
29,Female,1,87.09,87.09,Two year,Fiber optic,Mailed check,No,No,1
22,Female,57,45.82,2660.74,Month-to-month,Fiber optic,Bank transfer,No,Yes,1
54,Female,64,87.46,5615.23,Month-to-month,DSL,Bank transfer,Yes,Yes,0
49,Female,28,49.67,1372.99,Month-to-month,DSL,Mailed check,Yes,No,1
26,Female,37,91.84,3469.11,Two year,DSL,Credit card,No,Yes,0
58,Female,47,115.4,5427.2,Month-to-month,Fiber optic,Electronic check,No,No,0
52,Male,37,92.14,3337.62,Month-to-month,No,Credit card,Yes,Yes,0
36,Male,49,106.29,5186.24,Month-to-month,No,Electronic check,No,Yes,0
65,Female,44,20.21,970.88,Month-to-month,Fiber optic,Credit card,Yes,No,0
33,Female,56,91.76,5105.09,Month-to-month,Fiber optic,Mailed check,Yes,Yes,1
20,Male,28,102.96,2896.64,Two year,No,Bank transfer,Yes,Yes,0
37,Female,6,24.06,181.55,Month-to-month,DSL,Credit card,Yes,Yes,0
41,Female,61,107.16,6566.26,One year,DSL,Electronic check,No,Yes,0
50,Male,20,45.67,1035.87,One year,No,Bank transfer,No,Yes,0
41,Female,2,86.53,114.24,Month-to-month,DSL,Electronic check,Yes,Yes,0
69,Female,37,100.04,3647.66,Month-to-month,No,Mailed check,No,Yes,1
28,Female,20,86.27,1667.41,Month-to-month,No,Bank transfer,No,Yes,1
66,Male,26,29.23,745.18,Month-to-month,Fiber optic,Electronic check,No,No,1
25,Male,29,79.63,2364.24,One year,No,Credit card,No,Yes,0
53,Male,1,74.96,74.96,Month-to-month,Fiber optic,Mailed check,Yes,Yes,0
55,Female,35,110.03,3906.72,Month-to-month,Fiber optic,Mailed check,No,No,1
57,Female,70,60.42,4231.16,One year,DSL,Mailed check,Yes,No,0
37,Male,59,52.11,3019.04,Two year,DSL,Credit card,Yes,No,0
52,Female,69,94.99,6466.74,Two year,DSL,Credit card,No,Yes,1
65,Female,33,61.27,1945.53,Two year,Fiber optic,Bank transfer,Yes,No,0
42,Female,51,84.61,4281.82,One year,DSL,Credit card,No,No,1
52,Female,12,84.65,1007.34,Month-to-month,DSL,Bank transfer,No,Yes,0
42,Female,20,108.8,2243.3,One year,DSL,Mailed check,Yes,Yes,1
46,Male,53,79.87,4273.06,Month-to-month,Fiber optic,Bank transfer,No,No,0
35,Female,43,70.22,2977.51,One year,No,Electronic check,Yes,No,0
63,Male,50,33.89,1714.93,One year,No,Mailed check,Yes,Yes,0
35,Female,29,31.57,998.11,Month-to-month,Fiber optic,Mailed check,No,Yes,1
19,Male,57,35.43,2113.21,One year,No,Bank transfer,No,Yes,0
52,Female,39,37.18,1434.3,Two year,Fiber optic,Mailed check,No,Yes,1
33,Male,56,83.79,4740.15,Month-to-month,Fiber optic,Credit card,Yes,Yes,0
58,Female,43,94.1,4115.8,Two year,Fiber optic,Electronic check,No,No,0
53,Male,50,73.0,3574.65,Month-to-month,DSL,Bank transfer,Yes,Yes,0
50,Female,23,102.9,2341.08,One year,No,Bank transfer,Yes,Yes,1
21,Male,44,119.13,5352.72,Month-to-month,DSL,Mailed check,No,Yes,0
50,Female,38,102.0,3860.95,One year,Fiber optic,Credit card,No,Yes,1
31,Male,23,89.49,1911.82,Two year,Fiber optic,Mailed check,No,Yes,0
38,Male,45,73.25,3290.2,Two year,DSL,Mailed check,Yes,No,0
65,Female,52,64.89,3430.51,One year,DSL,Bank transfer,No,Yes,1
37,Female,50,28.44,1422.33,Month-to-month,Fiber optic,Mailed check,Yes,No,0
25,Male,8,59.94,515.29,Two year,DSL,Electronic check,No,Yes,1
24,Female,1,111.01,157.92,Month-to-month,Fiber optic,Mailed check,No,No,1
20,Male,8,100.8,788.65,Two year,Fiber optic,Mailed check,Yes,No,0
34,Male,29,41.61,1180.72,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,0
50,Male,5,66.66,340.97,Month-to-month,Fiber optic,Mailed check,No,Yes,1
65,Female,47,101.67,4787.38,One year,Fiber optic,Credit card,No,Yes,1
